VARNAMES:,CID,CIDint,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,ERRFLAG_FIT,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,LENSDMU,LENSDMUERR,MWEBV,HOST_NMATCH,HOST_NMATCH2,HOST_OBJID,HOST_ZPHOT,HOST_ZPHOTERR,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_CONFUSION,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_LOGsSFR_ERR,HOST_COLOR,HOST_COLOR_ERR,HOST_MAG_g,HOST_MAG_i,HOST_SBFLUXCAL_g,HOST_SBFLUXCAL_i,HOST_SBMAG_g,HOST_SBMAG_i,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,SNRSUM,BANDLIST,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RADIUS_POP,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,CUTMASK,MU,MUMODEL,MUERR,MUERR_RENORM,MUERR_RAW,MUERR_VPEC,MURES,MUPULL,M0DIF,M0DIFERR,CHI2_BEAMS,PROBCC_BEAMS,biasCor_nevt,biasCor_mu,biasCorErr_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,IDSAMPLE,IZBIN
SN:,1887027,1887027,10,0,C2,3,0,0.21348,0.001,0.21303,0.001,0.21303,0.00157,0,300,0,0,7.63E-03,1,1,-31416,-9,-9,0.2135,1.00E-03,53.79583,-28.532192,5.171,2.808,-9,10.809,1.10E-02,1.219,0.124,-9.60E+00,0.12832,1.104,-999,21.08,19.25,1.95,6.06,26.77491,25.54382,58064.3047,74.13681,67.85386,45.96601,162.87743,griz,58060.043,0.23,-1.32E+00,0.23611,0.13727,2.40E-02,21.31263,3.22E-02,5.36E-05,1.59E-06,2.58E-03,-2.20E-07,-3.09E-08,36,45.84529,0.12595,0.634787,0.8741,0.8353,0.9975,0.9986,0.9944,0,40.10499,40.10793,0.17733,0.1764,0.0574,0.0112,0.0119,0.067,-0.0148,0.0196,0.34,1.12E-04,2145,-0.1029,0.009,1,0.0268,6,7
SN:,1900856,1900856,10,0,C2,3,0,0.72477,0.001,0.72416,0.001,0.72416,0.00199,0,300,0,0,9.91E-03,1,3,136845,-9,-9,0.7248,1.00E-03,54.840744,-28.397083,0.502,0.491,-3.71E+00,11.218,7.10E-02,-8.33E-01,9.167,-1.20E+01,9.16732,1.481,-999,24.25,21.04,4.6,92.11,25.84311,22.58923,58076.3242,9.13307,6.69303,4.99402,23.66773,riz,58081.1133,0.9834,-8.28E-01,0.8374,-6.65E-02,6.98E-02,23.55574,6.62E-02,6.79E-06,4.14E-07,1.28E-02,-2.22E-07,-7.13E-10,41,27.95827,0.93987,0.354183,0.9998,0.9477,1,0.9995,1,0,43.1593,43.21458,0.15143,0.1552,0.268,0.0038,-0.0731,-0.483,0.0179,0.0134,0.25,0.00E+00,6139,-0.1904,0.005,0.314,0,6,16
SN:,1935471,1935471,10,0,X2,3,0,0.35542,0.001,0.35433,0.001,0.35433,0.00168,0,300,0,0,2.47E-02,1,1,147671,-9,-9,0.3554,1.00E-03,35.814743,-6.134845,0.264,0.272,-9,10.632,7.80E-02,-5.68E-01,9.432,-1.12E+01,9.43204,1.642,-999,22.8,20.49,16.96,151.36,24.42644,22.04997,58129.0586,40.34481,36.02571,26.57999,80.69621,griz,58129.0781,0.003,-2.12E+00,3.72E-03,-1.20E-01,2.66E-02,21.74123,2.72E-02,3.61E-05,9.05E-07,2.22E-04,-4.11E-09,-1.31E-08,16,13.18065,0.65951,0.812174,0.9939,0.3616,0.9998,0.9995,0.9999,0,41.10221,41.36969,0.11014,0.1098,0.0748,0.0071,-0.27,-2.451,0.0025,0.0125,5.39,3.07E-05,2060,0.0015,0.009,1,0.0052,4,10
SN:,1913214,1913214,10,1,X2,3,0,0.31721,0.001,0.31615,0.001,0.31615,0.00165,0,300,0,0,2.20E-02,1,3,141016,-9,-9,0.3172,1.00E-03,35.648705,-6.468292,1.666,1.209,-2.58E+00,10.634,8.00E-02,0.623,9.445,-9.95E+00,9.44531,1.381,-999,22.27,20.24,11.12,58.81,24.88474,23.07637,58097.1172,35.5931,32.49436,23.14508,86.02972,griz,58095.0234,0.3189,-1.64E+00,0.26593,-7.07E-02,2.71E-02,21.78665,3.45E-02,3.46E-05,1.10E-06,3.47E-03,-1.78E-07,-2.24E-08,36,17.72178,0.99544,0.596402,0.9991,0.995,1,1,1,0,41.10099,41.08298,0.11547,0.1151,0.0675,0.0078,0.0155,0.134,0.0025,0.0125,-0.51,0.00E+00,3431,-0.0257,0.007,1,0.0075,4,10
SN:,1776304,1776304,10,0,S2,3,0,0.45517,0.001,0.4541,0.001,0.4541,0.00177,0,300,0,0,2.62E-02,2,3,120055,-9,-9,0.4552,1.00E-03,40.803791,-1.508157,9.30E-02,0.112,-5.11E+00,9.499,1.90E-02,1.134,0.367,-8.35E+00,0.36975,0.13,-999,23.13,22.07,13.29,36.39,24.69119,23.59755,57986.3047,20.24714,15.13709,7.80097,37.31414,riz,57986.5547,1.8334,-7.80E-01,0.83173,-5.42E-02,5.62E-02,22.4336,6.03E-02,1.91E-05,1.06E-06,5.49E-03,-1.77E-08,-4.35E-08,28,18.917,0.90068,0.316644,0.9912,0.7871,0.9941,0.998,0.9991,0,41.84927,42.00147,0.20597,0.2052,0.1848,0.0057,-0.1558,-0.756,0.0036,0.013,1.21,8.92E-05,1682,-0.0662,0.009,1,0.007,5,12
SN:,1920457,1920457,10,0,S1,3,0,0.65692,0.00013,0.65573,0.00013,0.65573,0.00166,0,300,0,0,4.90E-02,1,1,142997,-9,-9,0.6569,1.00E-04,42.365452,0.957902,1.38,1.426,-9,10.962,1.90E-02,1.085,0.298,-9.86E+00,0.3048,0.876,-999,22.83,20.96,5.39,29.37,25.67103,23.83024,58094.0977,11.82422,10.45547,6.66245,25.95315,riz,58094.4531,0.8641,-2.51E-01,0.81941,-1.87E-01,6.86E-02,23.37135,6.64E-02,8.04E-06,4.92E-07,1.88E-02,-2.28E-07,-9.65E-09,27,31.39785,0.25512,0.62909,0.9985,0.5557,1,0.9993,1,0,43.07736,42.95498,0.13638,0.1399,0.2316,0.0041,0.1162,0.852,0.0062,0.0107,0.54,0.00E+00,1638,0.1834,0.009,0.339,0,5,15
SN:,1910065,1910065,10,0,E2,3,0,0.57988,0.001,0.57875,0.001,0.57875,0.00187,0,300,0,0,7.14E-03,1,4,545486,-9,-9,0.5799,1.00E-03,9.378354,-44.134632,0.297,8.70E-02,-5.85E+00,10.194,1.30E-02,2.111,9.50E-02,-8.08E+00,9.99E-02,-4.00E-03,-999,23.59,22.48,8.12,22.84,25.22611,24.10326,58093.0586,8.05517,7.21854,5.74834,21.75461,riz,58087.0391,1.0649,-2.05E-01,1.10603,0.15515,8.61E-02,23.35706,8.53E-02,8.15E-06,6.40E-07,2.59E-02,-4.36E-07,-3.28E-08,29,11.14305,0.99886,0.521657,0.8508,0.857,0.9971,0.9939,0.9933,0,42.57166,42.62886,0.2227,0.2254,0.2848,0.0046,-0.0508,-0.228,-0.0064,0.011,0.84,6.75E-04,7578,-0.3933,0.005,0.602,0,6,14
SN:,1876421,1876421,10,1,X2,3,0,0.34423,0.001,0.34313,0.001,0.34313,0.00168,0,300,0,0,2.35E-02,1,1,131194,-9,-9,0.3442,1.00E-03,34.838043,-6.329509,0.374,0.484,-9,9.327,2.00E-02,1.139,0.363,-8.13E+00,0.36379,0.283,-999,22.83,21.86,16.84,43.59,24.43414,23.40153,58045.1016,24.34575,20.87995,18.03952,73.47859,griz,58045.2305,0.3626,-8.57E-01,0.33696,-5.82E-02,2.14E-02,22.00957,2.70E-02,2.82E-05,7.01E-07,3.18E-03,-1.46E-07,-8.71E-09,47,33.29345,0.93448,0.345215,0.998,0.975,1,1,1,0,41.38335,41.2887,0.13693,0.1365,0.0725,0.0073,0.0921,0.673,0.0025,0.0125,0.27,0.00E+00,1433,-0.0248,0.008,1,0.0122,4,10
SN:,1936293,1936293,10,0,C3,3,0,0.8324,0.001,0.83168,0.001,0.83168,0.00209,0,300,0,0,9.39E-03,1,1,146103,-9,-9,0.8324,1.00E-03,52.393917,-28.687963,0.275,0.342,-9,10.77,1.80E-02,0.404,0.882,-1.04E+01,0.88765,1.379,-999,25.57,22.51,1.29,23.19,27.22353,24.08675,58117.1445,19.21762,14.41729,10.98609,36.2043,riz,58124.0234,0.9084,-1.34E+00,0.74563,-8.93E-02,5.69E-02,24.45975,5.27E-02,2.95E-06,1.43E-07,1.73E-02,-6.47E-08,-5.64E-10,22,24.7583,0.30877,0.536111,0.9104,0.972,0.9997,0.9957,0.9941,0,43.83167,43.57917,0.16686,0.1692,0.2027,0.0034,0.2654,1.591,-0.0129,0.0174,2.74,1.47E-03,4629,0.0271,0.007,0.657,0,3,17
SN:,1912110,1912110,10,0,E2,3,0,0.53873,0.001,0.53763,0.001,0.53763,0.00184,0,300,0,0,5.71E-03,1,1,140384,-9,-9,0.5387,1.00E-03,9.546219,-44.113155,0.274,0.352,-9,9.788,1.00E-02,1.596,0,-8.20E+00,2.80E-02,0.22,-999,22.66,21.56,18.11,55.95,24.3552,23.1305,58099.1445,25.18646,16.00058,15.44592,51.49591,riz,58096.3633,0.5958,1.29219,0.61727,7.36E-02,4.48E-02,22.77398,4.42E-02,1.39E-05,5.67E-07,5.61E-03,-2.12E-07,-1.58E-08,23,29.0073,0.18007,0.495703,0.9917,0.8848,1,0.9998,0.9996,0,42.1294,42.43732,0.16999,0.172,0.1594,0.0049,-0.3015,-1.774,-0.0064,0.011,3.4,1.03E-04,3617,-0.0584,0.007,1,0.0022,6,14
SN:,1770680,1770680,10,0,X2,3,0,0.61041,0.001,0.60911,0.001,0.60911,0.0019,0,300,0,0,2.16E-02,1,1,120674,-9,-9,0.6104,1.00E-03,35.368649,-6.464186,0.431,0.429,-9,10.837,2.70E-02,0.914,0.333,-9.94E+00,0.35197,0.932,-999,23.18,21.08,13.24,92.73,24.69528,22.58195,57999.2656,11.93917,9.80964,5.50914,31.00673,riz,58001.0195,0.8469,0.88358,0.8648,0.1006,6.99E-02,23.10667,7.38E-02,1.03E-05,6.98E-07,2.24E-02,-4.67E-07,-2.90E-08,46,58.70704,9.90E-02,0.446305,0.995,0.9353,1,0.9991,0.9979,0,42.56791,42.76236,0.13949,0.1432,0.2231,0.0044,-0.2006,-1.438,0.0062,0.0107,1.92,3.72E-04,874,-0.2849,0.01,0.381,0,4,15
SN:,1330642,1330642,10,1,X3,3,0,0.63521,0.001,0.63391,0.001,0.63391,0.00192,0,300,0,0,2.22E-02,1,3,39378,-9,-9,0.6352,1.00E-03,37.040527,-4.047121,0.255,0.303,-3.94E+00,9.318,3.20E-02,-6.60E-02,0.143,-9.38E+00,0.31173,0.316,-999,24.79,23.54,2.54,7.7,26.48792,25.28377,57316.1016,28.70126,25.17281,12.41567,82.18774,riz,57317.7461,0.4697,1.38913,0.39095,-6.64E-02,2.97E-02,23.02755,3.48E-02,1.10E-05,3.53E-07,4.85E-03,-1.00E-07,-6.89E-09,37,26.47134,0.90053,0.513269,0.9965,0.9967,0.9999,0.8078,1,0,42.71695,42.86659,0.1495,0.1534,0.0971,0.0043,-0.1558,-1.042,0.0062,0.0107,1.08,0.00E+00,1239,0.0642,0.011,1,0.0117,2,15
SN:,1282018,1282018,10,0,S2,3,0,0.4248,0.001,0.42376,0.001,0.42376,0.00174,0,300,0,0,2.68E-02,1,2,13531,-9,-9,0.4248,1.00E-03,41.519337,-0.134944,0.232,0.214,-5.35E+00,10.716,3.00E-02,0.339,5.484,-1.04E+01,5.48427,1.334,-999,22.59,20.28,23.95,184.81,24.05174,21.83319,57265.2891,17.65468,12.7023,8.70259,37.29056,riz,57267.3008,0.5645,-7.01E-01,0.59732,-1.51E-01,6.68E-02,22.10135,8.20E-02,2.59E-05,1.96E-06,1.75E-02,-8.03E-07,-1.08E-07,47,31.1157,0.96406,0.555615,0.3834,0.7207,0.9996,0.9954,0.9627,0,41.69933,41.82425,0.15332,0.153,0.1609,0.006,-0.1285,-0.838,0.0036,0.013,0.76,3.15E-03,4334,0.1028,0.006,0.865,0,5,12
SN:,1307277,1307277,10,1,S2,3,0,0.41216,0.001,0.41113,0.001,0.41113,0.00173,0,300,0,0,3.05E-02,1,1,12758,-9,-9,0.4122,1.00E-03,41.738831,-0.235561,6.50E-02,7.90E-02,-9,10.358,1.40E-02,0.647,0.417,-9.71E+00,0.42023,1.091,-999,22.98,21.16,15.74,81.88,24.50749,22.71706,57288.1992,12.7038,11.37046,8.32001,35.88375,riz,57284.1797,0.6456,-2.56E-01,0.70145,0.23281,6.77E-02,22.74875,8.30E-02,1.43E-05,1.09E-06,2.23E-02,-4.53E-07,-6.67E-08,44,37.55433,0.74274,0.780695,0.7368,0.7278,0.9984,0.9991,0.9999,0,41.6509,41.74696,0.20079,0.2,0.1512,0.0062,-0.0996,-0.496,0.0036,0.013,0.83,4.29E-06,2229,-0.3336,0.011,1,0.0162,5,12
SN:,1334265,1334265,10,0,C1,3,0,0.58646,0.001,0.58586,0.001,0.58586,0.00188,0,300,0,0,8.98E-03,2,4,40863,-9,-9,0.5865,1.00E-03,53.828358,-27.346138,0.545,0.752,-2.46E+00,10.722,5.70E-02,-4.47E-01,3.838,-1.12E+01,3.83818,1.54,-999,23.98,21.14,5.77,72.21,25.59706,22.85351,57329.2148,9.48265,7.33237,4.53572,23.23585,riz,57330.7812,0.9817,-1.30E+00,0.77181,-3.86E-03,8.48E-02,23.3556,6.95E-02,8.16E-06,5.22E-07,6.12E-03,-1.95E-07,-1.87E-08,43,21.55412,0.99742,0.431929,0.9982,0.979,1,0.9996,1,0,42.72307,42.65993,0.2164,0.219,0.2838,0.0045,0.0695,0.321,-0.0064,0.011,0.84,0.00E+00,9118,-0.2301,0.004,0.572,0,6,14
SN:,1309013,1309013,10,0,X2,3,0,0.21358,0.001,0.2126,0.001,0.2126,0.00157,0,300,0,0,2.30E-02,1,1,36028,-9,-9,0.2136,1.00E-03,35.46608,-7.339446,1.942,1.29,-9,10.492,1.00E-02,1.179,0.359,-9.31E+00,0.35956,0.891,-999,20.72,19.45,56.99,160.23,23.1105,21.98814,57286.2344,23.9815,21.34376,18.22913,76.09086,griz,57292.3125,0.306,-1.23E+00,0.28051,0.2131,3.47E-02,21.40956,5.12E-02,4.90E-05,2.31E-06,4.57E-03,-3.52E-07,-6.24E-08,49,43.40978,0.69835,0.819559,0.9923,0.8142,1,0.9996,1,0,40.01692,40.10396,0.19765,0.1966,0.0773,0.0112,-0.0723,-0.366,-0.0148,0.0196,0.69,0.00E+00,793,-0.1405,0.017,1,0.0317,4,7
SN:,1319539,1319539,10,0,S2,3,0,0.37277,0.001,0.37176,0.001,0.37176,0.0017,0,300,0,0,2.58E-02,1,1,13624,-9,-9,0.3728,1.00E-03,41.114513,-1.589886,0.266,0.319,-9,10.547,3.30E-02,0.767,0.593,-9.75E+00,0.59528,1.256,-999,22.55,20.5,22.2,136.36,24.13412,22.16328,57304.2109,29.28587,28.27809,17.65248,72.87488,griz,57302.1445,0.4318,1.36122,0.38085,5.61E-02,2.29E-02,21.98068,3.07E-02,2.90E-05,8.20E-07,4.14E-03,-2.02E-07,-1.32E-08,49,43.81081,0.68293,0.490822,0.9941,0.9261,0.9999,0.9998,1,0,41.39942,41.49101,0.14513,0.1455,0.0758,0.0068,-0.0612,-0.422,-0.0304,0.0149,0.11,0.00E+00,1467,-0.022,0.01,1,0.014,5,11
SN:,1334858,1334858,10,1,C3,3,0,0.628,0.001,0.62737,0.001,0.62737,0.00191,0,300,0,0,8.34E-03,1,3,-14251,-9,-9,0.628,1.00E-03,53.132202,-27.577719,2.244,1.978,-9.75E-01,10.49,0.13,1.032,2.40E-02,-9.65E+00,2.88E-02,0.525,-999,22.39,21.07,6.05,23.75,25.54561,24.06084,57327.0977,8.45998,8.0091,6.6829,26.83038,riz,57331.9727,0.8408,-5.92E-01,0.64528,0.19354,7.71E-02,24.15729,7.74E-02,3.90E-06,2.78E-07,1.70E-02,-1.10E-07,-1.58E-08,40,8.35561,1,0.67459,0.9493,0.9027,0.9601,0.7012,0.9662,0,43.03721,42.83859,0.26417,0.2715,0.206,0.0043,0.1924,0.728,0.0062,0.0107,1.67,3.58E-03,3923,-0.2445,0.01,1,0.0261,3,15
